Threshold,TPR,FPR,Slope,Threshold_Label,AUC,difference
518000,1,1,#DIV/0!,NA,0.809,0
520000,1,1,#DIV/0!,NA,0.809,0
522000,1,1,#DIV/0!,NA,0.809,0
524000,1,1,#DIV/0!,NA,0.809,0
526000,1,1,#DIV/0!,NA,0.809,0
528000,1,1,#DIV/0!,NA,0.809,0
530000,1,1,#DIV/0!,NA,0.809,0
532000,1,1,#DIV/0!,NA,0.809,0
534000,1,1,#DIV/0!,NA,0.809,0
536000,1,1,#DIV/0!,NA,0.809,0
538000,1,1,#DIV/0!,NA,0.809,0
540000,1,1,#DIV/0!,NA,0.809,0
542000,1,1,#DIV/0!,NA,0.809,0
544000,1,1,#DIV/0!,NA,0.809,0
546000,1,1,#DIV/0!,NA,0.809,0
548000,1,1,#DIV/0!,NA,0.809,0
550000,1,1,#DIV/0!,NA,0.809,0
552000,1,1,#DIV/0!,NA,0.809,0
554000,1,1,#DIV/0!,NA,0.809,0
556000,1,1,#DIV/0!,NA,0.809,0
558000,1,1,#DIV/0!,NA,0.809,0
560000,1,1,#DIV/0!,NA,0.809,0
562000,1,1,#DIV/0!,NA,0.809,0
564000,1,1,#DIV/0!,NA,0.809,0
566000,1,1,#DIV/0!,NA,0.809,0
568000,1,1,#DIV/0!,NA,0.809,0
570000,1,1,#DIV/0!,NA,0.809,0
572000,1,1,#DIV/0!,NA,0.809,0
574000,1,1,#DIV/0!,NA,0.809,0
576000,1,1,#DIV/0!,NA,0.809,0
578000,1,1,#DIV/0!,NA,0.809,0
580000,1,1,#DIV/0!,NA,0.809,0
582000,1,1,#DIV/0!,NA,0.809,0
584000,1,1,#DIV/0!,NA,0.809,0
586000,1,1,#DIV/0!,NA,0.809,0
588000,1,1,#DIV/0!,NA,0.809,0
590000,1,1,#DIV/0!,NA,0.809,0
592000,1,1,#DIV/0!,NA,0.809,0
594000,1,1,#DIV/0!,NA,0.809,0
596000,1,1,#DIV/0!,NA,0.809,0
598000,1,1,#DIV/0!,NA,0.809,0
600000,1,1,#DIV/0!,NA,0.809,0
602000,1,1,#DIV/0!,NA,0.809,0
604000,1,1,#DIV/0!,NA,0.809,0
606000,1,1,#DIV/0!,NA,0.809,0
608000,1,1,#DIV/0!,NA,0.809,0
610000,1,1,#DIV/0!,NA,0.809,0
612000,1,1,#DIV/0!,NA,0.809,0
614000,1,1,#DIV/0!,NA,0.809,0
616000,1,1,#DIV/0!,NA,0.809,0
618000,1,1,#DIV/0!,NA,0.809,0
620000,1,1,#DIV/0!,NA,0.809,0
622000,1,1,#DIV/0!,NA,0.809,0
624000,1,1,#DIV/0!,NA,0.809,0
626000,1,1,#DIV/0!,NA,0.809,0
628000,1,1,#DIV/0!,NA,0.809,0
630000,1,1,#DIV/0!,NA,0.809,0
632000,1,1,#DIV/0!,NA,0.809,0
634000,1,1,#DIV/0!,NA,0.809,0
636000,1,1,#DIV/0!,NA,0.809,0
